2024-06-25 23:06:12 INFO  LoginPage :60 - Clicking on login link : [[ChromeDriver: chrome on windows (65956c62699f96b283589b312896bede)] -> xpath: //button[contains(text(),'Log in')]]
2024-06-25 23:06:383 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-06-25 23:06:459 INFO  HomePage :39 - Clicking on register link : [[ChromeDriver: chrome on windows (bcc70555df681f3f61c112c1ff5d55ec)] -> link text: Register]
2024-06-25 23:06:476 INFO  RegisterPage :74 - Getting text from : [[ChromeDriver: chrome on windows (bcc70555df681f3f61c112c1ff5d55ec)] -> xpath: //h1[normalize-space()='Register']]
2024-06-25 23:06:655 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-06-25 23:06:121 INFO  HomePage :39 - Clicking on register link : [[ChromeDriver: chrome on windows (2bf6a6ab08ac75785931b109e7a2f457)] -> link text: Register]
2024-06-25 23:06:190 INFO  RegisterPage :81 - Clicking on register button : [[ChromeDriver: chrome on windows (2bf6a6ab08ac75785931b109e7a2f457)] -> id: register-button]
2024-06-25 23:06:205 INFO  RegisterPage :92 - Getting text from : [[ChromeDriver: chrome on windows (2bf6a6ab08ac75785931b109e7a2f457)] -> id: FirstName-error]
2024-06-25 23:06:231 INFO  RegisterPage :97 - Getting text from : [[ChromeDriver: chrome on windows (2bf6a6ab08ac75785931b109e7a2f457)] -> id: LastName-error]
2024-06-25 23:06:248 INFO  RegisterPage :103 - Getting text from : [[ChromeDriver: chrome on windows (2bf6a6ab08ac75785931b109e7a2f457)] -> id: Email-error]
2024-06-25 23:06:263 INFO  RegisterPage :115 - Getting text from : [[ChromeDriver: chrome on windows (2bf6a6ab08ac75785931b109e7a2f457)] -> id: ConfirmPassword-error]
2024-06-25 23:06:278 INFO  RegisterPage :115 - Getting text from : [[ChromeDriver: chrome on windows (2bf6a6ab08ac75785931b109e7a2f457)] -> id: ConfirmPassword-error]
2024-06-25 23:06:459 INFO  ManageBrowser :31 - Chrome Browser Launch.....
2024-06-25 23:06:883 INFO  HomePage :39 - Clicking on register link : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> link text: Register]
2024-06-25 23:06:926 INFO  RegisterPage :122 - Clicking on gender tab : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> id: gender]
2024-06-25 23:06:938 INFO  RegisterPage :127 - Enter FirstName : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> id: FirstName]
2024-06-25 23:06:999 INFO  RegisterPage :133 - Enter LastName : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> id: LastName]
2024-06-25 23:06:48 INFO  RegisterPage :138 - Select date[[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> name: DateOfBirthDay]
2024-06-25 23:06:134 INFO  RegisterPage :143 - Select month[[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> name: DateOfBirthMonth]
2024-06-25 23:06:207 INFO  RegisterPage :148 - Select year[[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> name: DateOfBirthYear]
2024-06-25 23:06:324 INFO  RegisterPage :154 - Enter EmailField : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> id: Email]
2024-06-25 23:06:379 INFO  RegisterPage :160 - Enter PassWordField : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> id: Password]
2024-06-25 23:06:429 INFO  RegisterPage :165 - Enter ConfirmPassWordField : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> id: ConfirmPassword]
2024-06-25 23:06:948 INFO  RegisterPage :81 - Clicking on register button : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> id: register-button]
2024-06-25 23:06:970 INFO  RegisterPage :169 - Get registration Message : [[ChromeDriver: chrome on windows (caaf3e81a3807db88dfb1db43f44858d)] -> xpath: //div[text()='Your registration completed']]
